Source.Name;Time;P1;Q;P2
FE08P100M2.txt;7.0000000000000231e+000;1.5159261126051013e+002;-4.0000000000000000e+000;1.5116226532388217e+002
FE08P100M2.txt;7.1000000000000236e+000;1.5163885699863090e+002;-4.0000000000000000e+000;1.5120962687150390e+002
FE08P100M2.txt;7.2000000000000242e+000;1.5168083110415887e+002;-4.0000000000000000e+000;1.5125286963080214e+002
FE08P100M2.txt;7.3000000000000247e+000;1.5171819613342660e+002;-4.0000000000000000e+000;1.5129159734851822e+002
FE08P100M2.txt;7.4000000000000252e+000;1.5175082382950362e+002;-4.0000000000000000e+000;1.5132562896104000e+002
FE08P100M2.txt;7.5000000000000258e+000;1.5177873468094873e+002;-4.0000000000000000e+000;1.5135493912044697e+002
FE08P100M2.txt;7.6000000000000263e+000;1.5180206713833383e+002;-4.0000000000000000e+000;1.5137962648450005e+002
FE08P100M2.txt;7.7000000000000268e+000;1.5182106891558195e+002;-4.0000000000000000e+000;1.5139990511378338e+002
FE08P100M2.txt;7.8000000000000274e+000;1.5183610182805285e+002;-4.0000000000000000e+000;1.5141611103015398e+002
FE08P100M2.txt;7.9000000000000279e+000;1.5184756276654619e+002;-4.0000000000000000e+000;1.5142862191240084e+002
FE08P100M2.txt;8.0000000000000284e+000;1.5185591523035703e+002;-4.0000000000000000e+000;1.5143788726700322e+002
FE08P100M2.txt;8.1000000000000281e+000;1.5186160806751079e+002;-4.0000000000000000e+000;1.5144434991348567e+002
FE08P100M2.txt;8.2000000000000277e+000;1.5186514493417735e+002;-4.0000000000000000e+000;1.5144850902590426e+002
FE08P100M2.txt;8.3000000000000274e+000;1.5186701884283289e+002;-4.0000000000000000e+000;1.5145085908319888e+002
FE08P100M2.txt;8.4000000000000270e+000;1.5186770248200801e+002;-4.0000000000000000e+000;1.5145187806216271e+002
FE08P100M2.txt;8.5000000000000266e+000;1.5186763645399921e+002;-4.0000000000000000e+000;1.5145201579460272e+002
FE08P100M2.txt;8.6000000000000263e+000;1.5186723162740930e+002;-4.0000000000000000e+000;1.5145169530353255e+002
FE08P100M2.txt;8.7000000000000259e+000;1.5186684067307903e+002;-4.0000000000000000e+000;1.5145128452324059e+002
FE08P100M2.txt;8.8000000000000256e+000;1.5186674157918253e+002;-4.0000000000000000e+000;1.5145107539132533e+002
FE08P100M2.txt;8.9000000000000252e+000;1.5186719197953613e+002;-4.0000000000000000e+000;1.5145134166226680e+002
FE08P100M2.txt;9.0000000000000249e+000;1.5186839239118524e+002;-4.0000000000000000e+000;1.5145230032656823e+002
FE08P100M2.txt;9.1000000000000245e+000;1.5187046785554580e+002;-4.0000000000000000e+000;1.5145409191348645e+002
FE08P100M2.txt;9.2000000000000242e+000;1.5187351978129087e+002;-4.0000000000000000e+000;1.5145683287396966e+002
FE08P100M2.txt;9.3000000000000238e+000;1.5187759939899050e+002;-4.0000000000000000e+000;1.5146058849253419e+002
FE08P100M2.txt;9.4000000000000234e+000;1.5188270294768043e+002;-4.0000000000000000e+000;1.5146536737826756e+002
FE08P100M2.txt;9.5000000000000231e+000;1.5188880466373695e+002;-4.0000000000000000e+000;1.5147115500051694e+002
FE08P100M2.txt;9.6000000000000227e+000;1.5189584530014235e+002;-4.0000000000000000e+000;1.5147790164563497e+002
FE08P100M2.txt;9.7000000000000224e+000;1.5190373287210312e+002;-4.0000000000000000e+000;1.5148552267810507e+002
FE08P100M2.txt;9.8000000000000220e+000;1.5191233488829101e+002;-4.0000000000000000e+000;1.5149389070024745e+002
FE08P100M2.txt;9.9000000000000217e+000;1.5192153263401750e+002;-4.0000000000000000e+000;1.5150289050829196e+002
FE08P100M2.txt;1.0000000000000000e+001;1.5193121732732936e+002;-4.0000000000000000e+000;1.5151241415758233e+002
FE08P100M3.txt;0.0000000000000000e+000;1.5000000000000000e+000;-4.0000000000000000e+000;1.5000000000000000e+000
FE08P100M3.txt;1.0000000000000023e-001;7.3778297498587619e+000;-3.9278808624784189e+000;2.5492952604987380e+000
FE08P100M3.txt;2.0000000000000046e-001;2.1190826256889025e+001;-3.6118414814458153e+000;8.8986508695778817e+000
FE08P100M3.txt;3.0000000000000071e-001;3.3891240608739800e+001;-3.0557713733799492e+000;1.9911204922955207e+001
FE08P100M3.txt;4.0000000000000091e-001;4.6117793871236842e+001;-2.2936208664158295e+000;3.2154396649228786e+001
FE08P100M3.txt;5.0000000000000111e-001;5.7788773599410149e+001;-1.3453093403286132e+000;4.4548681003230406e+001
FE08P100M3.txt;6.0000000000000131e-001;6.8979097953716305e+001;-2.2148590486902897e-001;5.6768022167700629e+001
FE08P100M3.txt;7.0000000000000151e-001;7.9710883899208156e+001;1.0703796651610000e+000;6.8689581750263883e+001
FE08P100M3.txt;8.0000000000000171e-001;8.9998375912806424e+001;2.5234507977848217e+000;8.0254583812982446e+001
FE08P100M3.txt;9.0000000000000191e-001;9.9848288711192652e+001;4.1308375338722385e+000;9.1427260207087926e+001
FE08P100M3.txt;1.0000000000000022e+000;1.0926197094853126e+002;4.4808615840585002e+000;1.0214449459264304e+002
FE08P100M3.txt;1.1000000000000025e+000;1.1809050999427089e+002;-3.1816046331153958e-001;1.1130880472290507e+002
FE08P100M3.txt;1.2000000000000028e+000;1.2606311467255978e+002;-2.4489724688258123e+000;1.1938471005050690e+002
FE08P100M3.txt;1.3000000000000032e+000;1.3317632455622561e+002;-3.3605344537944593e+000;1.2684943626848400e+002
FE08P100M3.txt;1.4000000000000035e+000;1.3949480455985631e+002;-3.7405743781830498e+000;1.3375539384439821e+002
FE08P100M3.txt;1.5000000000000038e+000;1.4506995694306013e+002;-3.8959935868695843e+000;1.4005267639069911e+002
FE08P100M3.txt;1.6000000000000041e+000;1.4993516855490540e+002;-3.9587296877146083e+000;1.4568457950081856e+002
FE08P100M3.txt;1.7000000000000044e+000;1.5411772818556813e+002;-3.9836677610885021e+000;1.5061314560625888e+002
FE08P100M3.txt;1.8000000000000047e+000;1.5765053164175271e+002;-3.9935562149519814e+000;1.5482608198500637e+002
FE08P100M3.txt;1.9000000000000050e+000;1.6057904315394998e+002;-3.9974953722992561e+000;1.5833925141130086e+002
FE08P100M3.txt;2.0000000000000053e+000;1.6296232851274277e+002;-3.9990324781404123e+000;1.6119726804537950e+002
FE08P100M3.txt;2.1000000000000054e+000;1.6486998099386179e+002;-3.9996226430396562e+000;1.6347007872633776e+002
FE08P100M3.txt;2.2000000000000055e+000;1.6637637455025688e+002;-3.9998489605732561e+000;1.6524446721237902e+002
